Symbol,Security,SECfilings,GICSSector,GICSSub-Industry,HeadquartersLocation,Datefirstadded,CIK,Founded
MMM,3M,reports,Industrials,IndustrialConglomerates,SaintPaul,Minnesota,1976-08-09,0000066740,1902
AOS,A.O.Smith,reports,Industrials,BuildingProducts,Milwaukee,Wisconsin,2017-07-26,0000091142,1916
ABT,Abbott,reports,HealthCare,HealthCareEquipment,NorthChicago,Illinois,1964-03-31,0000001800,1888
ABBV,AbbVie,reports,HealthCare,Pharmaceuticals,NorthChicago,Illinois,2012-12-31,0001551152,2013(1888)
ABMD,Abiomed,reports,HealthCare,HealthCareEquipment,Danvers,Massachusetts,2018-05-31,0000815094,1981
ACN,Accenture,reports,InformationTechnology,ITConsulting&OtherServices,Dublin,Ireland,2011-07-06,0001467373,1989
ATVI,ActivisionBlizzard,reports,CommunicationServices,InteractiveHomeEntertainment,SantaMonica,California,2015-08-31,0000718877,2008
ADM,ADM,reports,ConsumerStaples,AgriculturalProducts,Chicago,Illinois,1981-07-29,0000007084,1902
ADBE,Adobe,reports,InformationTechnology,ApplicationSoftware,SanJose,California,1997-05-05,0000796343,1982
ADP,ADP,reports,InformationTechnology,DataProcessing&OutsourcedServices,Roseland,NewJersey,1981-03-31,0000008670,1949
AAP,AdvanceAutoParts,reports,ConsumerDiscretionary,AutomotiveRetail,Raleigh,NorthCarolina,2015-07-09,0001158449,1932
AES,AES,reports,Utilities,IndependentPowerProducers&EnergyTraders,Arlington,Virginia,1998-10-02,0000874761,1981
AFL,Aflac,reports,Financials,Life&HealthInsurance,Columbus,Georgia,1999-05-28,0000004977,1955
A,AgilentTechnologies,reports,HealthCare,HealthCareEquipment,SantaClara,California,2000-06-05,0001090872,1999
AIG,AIG,reports,Financials,Property&CasualtyInsurance,NewYorkCity,NewYork,1980-03-31,0000005272,1919
APD,AirProducts,reports,Materials,IndustrialGases,Allentown,Pennsylvania,1985-04-30,0000002969,1940
AKAM,Akamai,reports,InformationTechnology,InternetServices&Infrastructure,Cambridge,Massachusetts,2007-07-12,0001086222,1998
ALK,AlaskaAirGroup,reports,Industrials,Airlines,Seattle,Washington,2016-05-13,0000766421,1985
ALB,Albemarle,reports,Materials,SpecialtyChemicals,Charlotte,NorthCarolina,2016-07-01,0000915913,1994
ARE,Alexandria,reports,RealEstate,OfficeREITs,Pasadena,California,2017-03-20,0001035443,1994
ALGN,Align,reports,HealthCare,HealthCareSupplies,SanJose,California,2017-06-19,0001097149,1997
ALLE,Allegion,reports,Industrials,BuildingProducts,NewYorkCity,NewYork,2013-12-02,0001579241,1908
LNT,AlliantEnergy,reports,Utilities,ElectricUtilities,Madison,Wisconsin,2016-07-01,0000352541,1917
ALL,Allstate,reports,Financials,Property&CasualtyInsurance,NorthfieldTownship,Illinois,1995-07-13,0000899051,1931
GOOGL,Alphabet(ClassA),reports,CommunicationServices,InteractiveMedia&Services,MountainView,California,2014-04-03,0001652044,1998
GOOG,Alphabet(ClassC),reports,CommunicationServices,InteractiveMedia&Services,MountainView,California,2006-04-03,0001652044,1998
MO,Altria,reports,ConsumerStaples,Tobacco,Richmond,Virginia,1957-03-04,0000764180,1985
AMZN,Amazon,reports,ConsumerDiscretionary,Internet&DirectMarketingRetail,Seattle,Washington,2005-11-18,0001018724,1994
AMCR,Amcor,reports,Materials,PaperPackaging,Warmley,Bristol,UnitedKingdom,2019-06-07,0001748790,2019(1860)
AMD,AMD,reports,InformationTechnology,Semiconductors,SantaClara,California,,0000002488,1969
AEE,Ameren,reports,Utilities,Multi-Utilities,St.Louis,Missouri,1991-09-19,0001002910,1902
AAL,AmericanAirlinesGroup,reports,Industrials,Airlines,FortWorth,Texas,2015-03-23,0000006201,1934
AEP,AmericanElectricPower,reports,Utilities,ElectricUtilities,Columbus,Ohio,1957-03-04,0000004904,1906
AXP,AmericanExpress,reports,Financials,ConsumerFinance,NewYorkCity,NewYork,1976-06-30,0000004962,1850
AMT,AmericanTower,reports,RealEstate,SpecializedREITs,Boston,Massachusetts,2007-11-19,0001053507,1995
AWK,AmericanWater,reports,Utilities,WaterUtilities,Camden,NewJersey,2016-03-04,0001410636,1886
AMP,AmeripriseFinancial,reports,Financials,AssetManagement&CustodyBanks,Minneapolis,Minnesota,2005-10-03,0000820027,1894
ABC,AmerisourceBergen,reports,HealthCare,HealthCareDistributors,Chesterbrook,Pennsylvania,2001-08-30,0001140859,1985
AME,Ametek,reports,Industrials,ElectricalComponents&Equipment,Berwyn,Pennsylvania,2013-09-23,0001037868,1930
AMGN,Amgen,reports,HealthCare,Biotechnology,ThousandOaks,California,1992-01-02,0000318154,1980
APH,Amphenol,reports,InformationTechnology,ElectronicComponents,Wallingford,Connecticut,2008-09-30,0000820313,1932
ADI,AnalogDevices,reports,InformationTechnology,Semiconductors,Wilmington,Massachusetts,1999-10-12,0000006281,1965
